exam_code,topic,question,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer
SAP-C02,Task 2.5: Design a solution to meet performance objectives.,"A company is running an application in the AWS cloud. The application runs on containers in an Amazon elastic container service Amazon ECS cluster. The ECS tasks use the Fargate launch type. The application's data is relational and is stored in Amazon Aurora MySQL. To meet regulatory requirements, the application must be able to recover to a separate AWS region in the event of an application failure. In case of a failure, no data can be lost. Which solution will meet these requirements with the least amount of operational overhead? Provision an Aurora replica in a different region.",Provision an Aurora replica in a different region.,Set up AWS data sync for continuous replication of the data to a different region.,Set up AWS database migration service AWSDMS to perform a continuous replication of the data to a different region.,"Use Amazon Data Life Cycle Manager, Amazon DLM to schedule a snapshot every 5 minutes.",,,A
SAP-C02,Task 1.1: Architect network connectivity strategies.,A company needs to architect a hybrid DNS solution. This solution will use an Amazon Route 53 private hosted zone for the domaincloud.ample.com for the resources stored within VPCs. The company has the following DNS resolution requirements. On premises systems should be able to resolve and connect to cloud.acample.com. All VPCs should be able to resolve cloud.agample.com. example.com. There is already an AWS direct connect connection between the on- premises corporate network and AWS transit gateway. Which architecture should the company use to meet these requirements with the highest performance?,Associate the private hosted zone to all the VPCs. Create a route 53 inbound resolver in the shared services VPC. Attach all VPCs to the transit gateway and create forwarding rules in the on- premises DNS server for cloud.acample.com that point to the inbound resolver.,Associate the private hosted zone to all the VPCs. Deploy an Amazon EC2 conditional forwarder in the shared services VPC. Attach all VPCs to the transit gateway and create forwarding rules in the on- premises DNS server for cloud.agample.com that point to the conditional forwarder.,Associate the private hosted zone to the shared services VPC. Create a route 53 outbound resolver in the shared services VPC. Attach all VPCs to the transit gateway and create forwarding rules in the on- premises DNS server for cloud.ample.com that point to the outbound resolver.,Associate the private hosted zone to the shared services VPC. Create a route 53 inbound resolver in the shared services VPC. Attach the shared services VPC to the transit gateway and create forwarding rules in the on- premises DNS server for cloud.agample.com that point to the inbound resolver.,,,A
SAP-C02,Task 2.2: Design a solution to ensure business continuity.,A company wants to use AWS to create a business continuity solution in case the company's main on premises application fails. The application runs on physical servers that also run other applications. The on- premises application that the company is planning to migrate uses a MySQL database as a data store. All the company's on premises applications use operating systems that are compatible with Amazon EC2. Which solution will achieve the company's goal with the least operational overhead?,"Install the AWS replication agent on the source servers, including the MySQL servers. Set up replication for all servers. Launch test instances for regular drills. Cut over to the test instances to fail over the workload in the case of a failure event.",Install the AWS replication agent on the source servers including the MySQL servers. Initialize AWS elastic disaster recovery in the target AWS region. Define the launch settings. Frequently perform failover and fallback from the most recent point in time.,Create AWS database migration service. AWSDMS replication servers and a target Amazon Aurora MySQL DB cluster to host the database. Create a DMS replication task to copy the existing data to the target DB cluster. Create a local AWS schema conversion tool. AWS SCT change data capture CDC task to keep the data synchronized. Install the rest of the software on EC2 instances by starting with a compatible base AMI.,Deploy an AWS storage gateway volume gateway on premises. Mount volumes on all on premises servers. Install the application and the MySQL database on the new volumes. Take regular snapshots. Install all the software on EC2 instances by starting with a compatible base AMI. Launch a volume gateway on an EC2 instance. Restore the volumes from the latest snapshot. Mount the new volumes on the EC2 instances in the case of a failure event.,,,B
SAP-C02,Task 3.1: Determine a strategy to improve overall operational excellence.,A company uses a graphana data visualization solution that runs on a single Amazon EC2 instance to monitor the health of the company's AWS workloads. The company has invested time and effort to create dashboards that the company wants to preserve. The dashboards need to be highly available and cannot be down for longer than 10 minutes. The company needs to minimize ongoing maintenance. Which solution will meet these requirements with the least operational requirements with the least operational overhead? Migrate to Amazon Cloudatch dashboards. Recreate the dashboards to match the existing Graphana dashboards. Use automatic dashboards where possible.,Migrate to Amazon Cloudatch dashboards. Recreate the dashboards to match the existing Graphana dashboards. Use automatic dashboards where possible.,Create an Amazon managed Graphana workspace. Configure a new Amazon Cloudatch data source. Export dashboards from the existing Graphana instance. Import the dashboards into the new workspace.,"Create an AMI that has Graphana pre-installed. Store the existing dashboards in Amazon Elastic File System. Amazon EFS. Create an autoscaling group that uses the new AMI. Set the autoscaling group's minimum, desired, and maximum number of instances to one. Create an application load balancer that serves at least two availability zones.",Configure AWS backup to backup the EC2 instance that runs Graphana once each hour. Restore the EC2 instance from the most recent snapshot in an alternate availability zone when required.,,,B
SAP-C02,Task 2.5: Design a solution to meet performance objectives.,A company is running several workloads in a single AWS account. A new company policy states that engineers can provision only approved resources and that engineers must use AWS cloud formation to provision these resources. A solutions architect needs to create a solution to enforce the new restriction on the IM role that the engineers use for access. What should the solutions architect do to create the solution? Upload AWS cloud for templates that contain approved resources to an Amazon S3 bucket. Update the IM policy for the engineer's IM role to only allow access to Amazon S3 and AWS cloud form. Use AWS cloud for templates to provision resources.,Upload AWS cloud for templates that contain approved resources to an Amazon S3 bucket. Update the IM policy for the engineer's IM role to only allow access to Amazon S3 and AWS cloud form. Use AWS cloud for templates to provision resources.,Update the IM policy for the engineers IM role with permissions to only allow provisioning of approved resources and AWS cloud form. Use AWS cloud form templates to create stacks with approved resources.,Update the IM policy for the engineer's IM role with permissions to only allow AWS cloud for actions. Create a new IM policy with permission to provision approved resources and assign the policy to a new IM service role. Assign the IM service role to AWS cloud form during stack creation.,Provision resources in AWS cloud form stacks. Update the IM policy for the engineers IM role to only allow access to their own AWS cloud for stack.,,,C
SAP-C02,Task 4.2: Determine the optimal migration approach for existing workloads.,"A company needs to migrate its website from an on premises data center to AWS. The website consists of a load balancer, a content management system, CMS that runs on a Linux operating system, and the MySQL database. The CMS requires persistent NFS compatible storage for a file system. The new solution on AWS must be able to scale from two Amazon EC2 instances to 30 EC2 instances in response to unpredictable traffic increases. The new solution also must require no changes to the website and must prevent data loss. Which solution will meet these requirements?","Create an Amazon elastic file system, Amazon EFS file system. Deploy the CMS to AWS elastic beantock with an application load balancer and an autoscaling group. Use extensions to mount the EFS file system to the EC2 instances. Create an Amazon Aurora MySQL database that is separate from the elastic beantock environment.","Create an Amazon elastic block store, Amazon EBS multi-attach volume. Deploy the CMS to AWS elastic beantoalk with a network load balancer and an autoscaling group. Use extensions to mount the EBS volume to the EC2 instances. Create an Amazon RDS for MySQL database in the Elastic Beantock environment.",Create an Amazon Elastic file system. Amazon EFS file system. Create a launch template and an autoscaling group to launch EC2 instances to support the CMS. Create a network load balancer to distribute traffic. Create an Amazon Aurora MySQL database. Use an EC2 autoscaling scale-in life cycle hook to mount the EFS file system to the EC2 instances.,Create an Amazon elastic block store Amazon EBS multi-attach volume. Create a launch template and an autoscaling group to launch EC2 instances to support the CMS. Create an application load balancer to distribute traffic. Create an Amazon elastic for Reddus cluster to support the MySQL database. Use EC2 user data to attach the EBS volume to the EC2 instances.,,,A
SAP-C02,Task 2.5: Design a solution to meet performance objectives.,"A company is hosting a three- tier web application in an on- premises environment. Due to a recent surge in traffic that resulted in downtime and a significant financial impact, company management has ordered that the application be moved to AWS. The application is written innet and has a dependency on a MySQL database. A solution's architect must design a scalable and highly available solution to meet the demand of 200,000 daily users. Which steps should the solutions architect take to design an appropriate solution?",Use AWS elastic beantock to create a new application with a web server environment and an Amazon RDS MySQL multiazb instance. The environment should launch a network load balancer NLB in front of an Amazon EC2 autoscaling group in multiple availability zones. Use an Amazon Route 53 alias record to route traffic from the company's domain to the NLB.,Use AWS Cloud Formation to launch a stack containing an application load balancer ALB in front of an Amazon EC2 autoscaling group spanning three availability zones. The stack should launch a multi-AZ deployment of an Amazon Aurora MySQL DB cluster with a retain deletion policy. Use an Amazon route 53 alias record to route traffic from the company's domain to the ALB.,Use AWS elastic beantock to create an automatically scaling web server environment that spans two separate regions with an application load balancer ALB in each region. Create a multi-AZ deployment of an Amazon Aurora MySQL DB cluster with a cross region read replica. Use Amazon Route 53 with a geoproximity routing policy to route traffic between the two regions.,Use AWS Cloud Formation to launch a stack containing an application load balancer ALB in front of an Amazon ECS cluster of spot instances spanning three availability zones. The stack should launch an Amazon RDS MySQL DB instance with a snapshot deletion policy. Use an Amazon route 53 alias record to route traffic from the company's domain to the ALB.,,,"B,A"
SAP-C02,Task 1.1: Architect network connectivity strategies.,A company has registered 10 new domain names. The company uses the domains for online marketing. The company needs a solution that will redirect online visitors to a specific URL for each domain. All domains and target URLs are defined in a JSON document. All DNS records are managed by Amazon Route 53. A solutions architect must implement a redirect service that accepts HTTP and HTTPS requests. Which combination of steps should the solutions architect take to meet these requirements with the least amount of operational effort? Choose three. Create a dynamic web page that runs on an Amazon EC2 instance. Configure the web page to use the JSON document in combination with the event message to look up and respond with a redirect URL.,Choose three. Create a dynamic web page that runs on an Amazon EC2 instance. Configure the web page to use the JSON document in combination with the event message to look up and respond with a redirect URL.,Create an application load balancer that includes HTTP and HTTPS listeners.,Create an AWS Lambda function that uses the JSON document in combination with the event message to look up and respond with a redirect URL.,Use an Amazon API gateway API with a custom domain to publish an AWS Lambda function.,Create an Amazon CloudFront distribution. Deploy a Lambda at edge function.,Create an SSL certificate by using AWS certificate manager ACM. Include the domains as subject alternative names.,"C,E,F"
SAP-C02,Task 2.1: Design a deployment strategy to meet business requirements.,"A company has a serverless application comprised of Amazon CloudFront, Amazon API gateway, and AWS Lambda functions. The current deployment process of the application code is to create a new version number of the Lambda function and run an AWS CLI script to update. If the new function version has errors, another CLI script reverts by deploying the previous working version of the function. The company would like to decrease the time to deploy new versions of the application logic provided by the Lambda functions and also reduce the time to detect and revert when errors are identified. How can this be identified. How can this be accomplished? Create and deploy nested AWS cloud for stacks with the parent stack consisting of the AWS CloudFront distribution and API gateway and the child stack containing the Lambda function. For changes to Lambda, create an AWS cloud for change set and deploy. If errors are triggered, revert the AWS cloud formation change set to the previous version.","Create and deploy nested AWS cloud for stacks with the parent stack consisting of the AWS CloudFront distribution and API gateway and the child stack containing the Lambda function. For changes to Lambda, create an AWS cloud for change set and deploy. If errors are triggered, revert the AWS cloud formation change set to the previous version.",Use AWS SAM and built-in AWS code deploy to deploy the new Lambda version. Gradually shift traffic to the new version and use pre-tra and post traffic test functions to verify code. Roll back if Amazon Cloudatch alarms are triggered.,"Refactor the AWS CLI scripts into a single script that deploys the new Lambda version. When deployment is completed, the script tests execute. If errors are detected, revert to the previous Lambda version.",Create and deploy an AWS cloud for stack that consists of a new API gateway endpoint that references the new Lambda version. Change the CloudFront origin to the new API gateway endpoint. monitor errors and if detected change the AWS CloudFront origin to the previous API gateway endpoint.,,,B
SAP-C02,Task 4.2: Determine the optimal migration approach for existing workloads.,A company is planning to migrate its business critical applications from an on- premises data center to AWS. The company has an on premises installation of a Microsoft SQL server always on cluster. The company wants to migrate to an AWS managed database service. A solution's architect must design a heterogeneous database migration on AWS. Which solution will meet these requirements?,Migrate the SQL server databases to Amazon RDS for MySQL by using backup and restore utilities.,Use an AWS Snowball Edge storage optimized device to transfer data to Amazon S3. Set up Amazon RDS for MySQL. Use S3 integration with SQL Server features such as bulk insert.,Use the AWS schema conversion tool to translate the database schema to Amazon RDS for MySQL. Then use AWS database migration service AWSDMS to migrate the data from on premises databases to Amazon RDS.,Use AWS data sync to migrate data over the network between on premises storage and Amazon S3. Set up Amazon RDS for MySQL. Use S3 integration with SQL server features such as bulk insert.,,,C
SAP-C02,Task 1.1: Architect network connectivity strategies.,A company recently completed a successful proof of concept of Amazon Workspaces. A solutions architect needs to make the solution highly available across two AWS regions. Amazon Workspaces is deployed in a failover region and a hosted zone is deployed in Amazon Route 53. What should the solutions architect do to configure high availability for the solution?,Create a connection alias in the primary region and in the failover region. Associate the connection aliases with a directory in each region. Create a route 53 failover routing policy. Set evaluate target health to yes.,Create a connection alias in the primary region and in the failover region. Associate the connection aliases with a directory in the primary region. Create a route 53 multivalue answer routing policy.,Create a connection alias in the primary region. Associate the connection alias with a directory in the primary region. Create a route 53 weighted routing policy.,Create a connection alias in the primary region. Associate the connection alias with a directory in the failover region. Create a route 53 failover routing policy. Set evaluate target health to yes.,,,A
SAP-C02,Task 1.5: Determine cost optimization and visibility strategies.,"A car rental company has built a serverless REST API to provide data to its mobile app. The app consists of an Amazon API gateway API with a regional endpoint, AWS Lambda functions, and an Amazon Aurora MySQL serverless DB cluster. The company recently opened the API to mobile apps of partners. A significant increase in the number of requests resulted, causing sporadic database memory errors. Analysis of the API traffic indicates that clients are making multiple HTTP get requests for the same queries in a short period of time. Traffic is concentrated during business hours with spikes around holidays and other events. The company needs to improve its ability to support the additional usage while minimizing the increase in costs associated with the solution. Which strategy meets these requirements?",Convert the API gateway regional endpoint to an edge optimized endpoint. Enable caching in the production stage.,Implement an Amazon elastic cache for Reddis cache to store the results of the database calls. Modify the Lambda functions to use the cache.,Modify the Aurora serverless DB cluster configuration to increase the maximum amount of available memory.,Enable throttling in the API gateway production stage. Set the rate and burst values to limit the incoming calls.,,,"B,A"
SAP-C02,Task 1.1: Architect network connectivity strategies.,A company is planning to migrate its on- premises VMware cluster of 120 VMs to AWS. The VMs have many different operating systems and many custom software packages installed. The company also has an on- premises NFS server that is 10 terabytes in size. The company has set up a 10 Gbits per second AWS Direct Connect connection to AWS for the migration. Which solution will complete the migration to AWS in the least amount of time?,Export the on- premises VMs and copy them to an Amazon S3 bucket. Use VM import. Export to create AMIs from the VM images that are stored in Amazon S3. Order an AWS Snowball Edge device. Copy the NFS server data to the device. Restore the NFS server data to an Amazon EC2 instance that has NFS configured.,Configure AWS application migration service with a connection to the VMware cluster. Create a replication job for the VMS. Create an Amazon elastic file system. Amazon EFS file system. Configure AWS data sync to copy the NFS server data to the EFS file system over the direct connect connection.,Recreate the VMs on AWS as Amazon EC2 instances. Install all the required software packages. Create an Amazon FSX for Luster file system. Configure AWS data sync to copy the NFS server data to the FSX for Lustre file system over the direct connect connection.,Order two AWS Snowball Edge devices. Copy the VMs and the NFS server data to the devices. Run VM import. Export after the data from the devices is loaded to an Amazon S3 bucket. Create an Amazon Elastic file system. Amazon EFS file system. Copy the NFS server data from Amazon S3 to the EFS file system.,,,B
SAP-C02,Task 1.5: Determine cost optimization and visibility strategies.,A company wants to migrate to AWS. The company is running thousands of VMs in a VMware ESG environment. The company has no configuration management database and has little knowledge about the utilization of the VMware portfolio. A solution's architect must provide the company with an accurate inventory so that the company can plan for a cost-effective migration. Which solution will meet these requirements with the least operational overhead? A use AWS systems manager patch manager to deploy migration evaluator to each VM. Review the collected data in Amazon Quicksite. Identify servers that have high utilization. Remove the servers that have high utilization from the migration list. Import the data to AWS migration hub.,A use AWS systems manager patch manager to deploy migration evaluator to each VM. Review the collected data in Amazon Quicksite. Identify servers that have high utilization. Remove the servers that have high utilization from the migration list. Import the data to AWS migration hub.,Export the VMware portfolio to a CSV file. Check the disk utilization for each server. Remove servers that have high utilization. Export the data to AWS application migration service. Use AWS server migration service AWS SMS to migrate the remaining servers.,Deploy the migration evaluator agentless collector to the ESG hypervisor. Review the collected data in migration evaluator. Identify inactive servers. Remove the inactive servers from the migration list. Import the data to AWS migration hub.,"Deploy the AWS application migration service agent to each VM. When the data is collected, use Amazon Redshift to import and analyze the data. Use Amazon Quicksite for data visualization.",,,C
SAP-C02,Task 1.3: Design reliable and resilient architectures.,A company is running a critical application that uses an Amazon RDS for MySQL database to store data. The RDSDB instance is deployed in multi-AZ mode. A recent RDS database failover test caused a 40-cond outage to the application. A solutions architect needs to design a solution to reduce the outage time to less than 20 seconds. Which combination of steps should the solutions architect take to meet these requirements? Choose take to meet these requirements? Choose three. Use Amazon elastic for me in front of the database.,Choose take to meet these requirements? Choose three. Use Amazon elastic for me in front of the database.,Use Amazon Elastic for Reddus in front of the database.,Use RDS proxy in front of the database.,Migrate the database to Amazon Aurora MySQL.,Create an Amazon Aurora replica.,Create an RDS for MySQL read replica.,"C,D,E"
SAP-C02,Task 1.3: Design reliable and resilient architectures.,A company plans to migrate a legacy on premises application to AWS. The application is a Java web application that runs on Apache Tomcat with a PostgreSQL database. The company does not have access to the source code but can deploy the application Java archive JR files. The application has increased traffic at the end of each month. Which solution will meet these requirements with the least operational requirements with the least operational overhead? Launch Amazon EC2 instances in multiple availability zones. Deploy Tomcat and PostgresQL to all the instances by using Amazon Elastic File System. Amazon EFS mount points. Use AWS Step Functions to deploy additional EC2 instances to scale for increased traffic.,Launch Amazon EC2 instances in multiple availability zones. Deploy Tomcat and PostgresQL to all the instances by using Amazon Elastic File System. Amazon EFS mount points. Use AWS Step Functions to deploy additional EC2 instances to scale for increased traffic.,Provision Amazon Elastic Kubernetes Service Amazon EKS in an autoscaling group across multiple AWS regions. Deploy Tomcat and PostgreSQL in the container images. Use a network load balancer to scale for increased traffic.,Ref actor the Java application into Python-based containers. Use AWS Lambda functions for the application logic. Store application data in Amazon Dynamob global tables. Use AWS storage gateway and Lambda concurrency to scale for increased traffic.,Use AWS elastic beantoalk to deploy the Tomcat servers with autoscaling in multiple availability zones. Store application data in an Amazon RDS for PostgresQL database. Deploy Amazon CloudFront and an application load balancer to scale for increased traffic.,,,D
SAP-C02,Task 2.1: Design a deployment strategy to meet business requirements.,A startup company recently migrated a large e-commerce website to AWS. The website has experienced a 70% increase in sales. Software engineers are using a private GitHub repository to manage code. The DevOps team is using Jenkins for builds and unit testing. The engineers need to receive notifications for bad builds and zero downtime during deployments. The engineers also need to ensure any changes to production are seamless for users and can be rolled back in the event of a major issue. The software engineers have decided to use AWS code pipeline to manage their build and deployment process. Which solution will meet these requirements? Use GitHub websockets to trigger the code pipeline pipeline. Use the Jenkins plug-in for AWS code build to conduct unit testing. Send alerts to an Amazon SNS topic for any bad builds. Deploy in an in place all at once deployment configuration using AWS code deploy.,Use GitHub websockets to trigger the code pipeline pipeline. Use the Jenkins plug-in for AWS code build to conduct unit testing. Send alerts to an Amazon SNS topic for any bad builds. Deploy in an in place all at once deployment configuration using AWS code deploy.,Use GitHub web hooks to trigger the code pipeline pipeline. Use the Jenkins plugin for AWS code build to conduct unit testing. Send alerts to an Amazon SNS topic for any bad builds. Deploy in a blue/green deployment using AWS code deploy.,Use GitHub websockets to trigger the code pipeline pipeline. Use AWS X-Ray for unit testing and static code analysis. Send alerts to an Amazon SNS topic for any bad builds. Deploy in a blue/green deployment using AWS code deploy.,Use GitHub web hooks to trigger the code pipeline pipeline. Use AWS X-ray for unit testing and static code analysis. Send alerts to an Amazon SNS topic for any bad builds. Deploy in an in place all at once deployment configuration using AWS code deploy.,,,B
SAP-C02,Task 1.1: Architect network connectivity strategies.,"A company is migrating a legacy application from an on premises data center to AWS. The application uses MongoDB as a key value database. According to the company's technical guidelines, all Amazon EC2 instances must be hosted in a private subnet without an internet connection. In addition, all connectivity between applications and databases must be encrypted. The database must be able to scale based on demand. Which solution will meet these requirements?",Create new Amazon document DB with MongoDB compatibility tables for the application with provisioned IOPS volumes. Use the instance endpoint to connect to Amazon document DB.,Create new Amazon Dynamob tables for the application with on demand capacity. Use a gateway VPC endpoint for DynamoB to connect to the DynamoB tables.,Create new Amazon Dynamob tables for the application with on demand capacity. Use an interface VPC endpoint for DynamoB to connect to the DynamoB tables.,Create new Amazon document DB with MongoDB compatibility tables for the application with provisioned IOPS volumes. Use the cluster endpoint to connect to Amazon document DB.,,,B
SAP-C02,Task 1.3: Design reliable and resilient architectures.,A company wants to use AWS for disaster recovery for an on- premises application. The company has hundreds of Windows-based servers that run the application. All the servers mount a common share. The company has an RTO of 15 minutes and an RPO of 5 minutes. The solution must support native failover and fallback capabilities. Which solution will meet these requirements most cost effectively?,"Create an AWS storage gateway file gateway. Schedule daily Windows Server backups. Save the data to Amazon S3. During a disaster, recover the on-remises servers from the backup. During failback, run the on- premises servers on Amazon EC2 instances.","Create a set of AWS cloud for templates to create infrastructure. Replicate all data to Amazon elastic file system Amazon EFS by using AWS data sync. During a disaster, use AWS code pipeline to deploy the templates to restore the on- premises servers. Fail back the data by using data sync.","Create an AWS cloud development kit AWS CDK pipeline to stand up a multi-sight active active environment on AWS. Replicate data into Amazon S3 by using the S3 sync command. During a disaster, swap DNS endpoints to point to AWS. Fail back the data by using the S3 sync command.",Use AWS elastic disaster recovery to replicate the on- premises servers. Replicate data to an Amazon FSX for Windows file server file system by using AWS data sync. Mount the file system to AWS servers during a disaster. Fail over the on- premises servers to AWS. Fail back to new or existing servers by using elastic disaster recovery. Option,,,D
SAP-C02,Task 3.1: Determine a strategy to improve overall operational excellence.,A solutions architect is investigating an issue in which a company cannot establish new sessions in Amazon Workspaces. An initial analysis indicates that the issue involves user profiles. The Amazon Workspaces environment is configured to use Amazon FSX for Windows File Server as the profile share storage. The FSX for Windows file server file system is configured with 10 TB of storage. The solutions architect discovers that the file system has reached its maximum capacity. The solutions architect must ensure that users can regain access. The solution also must prevent the problem from occurring again. Which solution will meet these requirements? Remove old user profiles to create space. Migrate the user profiles to an Amazon FSX for Luster file system.,Remove old user profiles to create space. Migrate the user profiles to an Amazon FSX for Luster file system.,Increase capacity by using the update file system command. Implement an Amazon Cloudatch metric that monitors free space. Use Amazon Event Bridge to invoke an AWS Lambda function to increase capacity as required.,Monitor the file system by using the free storage capacity metric in Amazon Cloudatch. Use AWS step functions to increase the capacity as required.,Remove old user profiles to create space. Create an additional FSX for Windows file server file system. Update the user profile redirection for 50% of the users to use the new file system.,,,B
SAP-C02,Task 1.1: Architect network connectivity strategies.,"A company is collecting data from a large set of IoT devices. The data is stored in an Amazon S3 data lake. Data scientists perform analytics on Amazon EC2 instances that run in two public subnets in a VPC in a separate AWS account. The data scientists need access to the data lake from the EC2 instances. The EC2 instances already have an assigned role with permissions to access Amazon S3. According to company policies, only authorized networks are allowed to have access to the IoT data. Which combination of steps should a solutions architect take to meet these requirements? Choose to A create a gateway VPC endpoint for Amazon S3 in the data scientist's VPC. B create an S3 access point in the data scientist's AWS account for the data lake. C update the EC2 instance role. Add a policy with a condition that allows the S3 get object action when the value for the S3 data access point on condition key is a valid access point. ARN",Choose to A create a gateway VPC endpoint for Amazon S3 in the data scientist's VPC. B create an S3 access point in the data scientist's AWS account for the data lake. C update the EC2 instance role. Add a policy with a condition that allows the S3 get object action when the value for the S3 data access point on condition key is a valid access point. ARN,The EC2 instances already have an IM role with S3 get object permission. This is half the puzzle. We still need the S3 bucket policy in account A to grant access to that role from account,"Update the EC2 instance role. Add a policy with a condition. This is incorrect. This is an identity based policy. While it's a good security practice to restrict a role to a specific resource, it doesn't solve the authorized network requirement. If the EC2 instances credentials were to leak, this policy would not stop someone from using them from an unauthorized network. The network level restriction must be enforced on the resource, the bucket.",Update the VPC route table to route S3 traffic to an S3 access point. E add an S3 bucket policy with a condition that allows the S3 get object action when the value for the S3 data access point on condition key is a valid access point ARN.,A creates the private authorized network path. E creates the mandatory security policy on the S3 bucket that locks down access to only that authorized network path.,,"A,E"
SAP-C02,Task 1.1: Architect network connectivity strategies.,"A solutions architect has deployed a web application that serves users across two AWS regions under a custom domain. The application uses Amazon Route 53 latencybased routing. The solutions architect has associated weighted record sets with a pair of web servers in separate availability zones for each region. The solutions architect runs a disaster recovery scenario. When all the web servers in one region are stopped, route 53 does not automatically redirect users to the other region. Which of the following are possible root causes of this issue? Choose two.",The weight for the region where the web servers were stopped is higher than the weight for the other region.,One of the web servers in the secondary region did not pass its HTTP health check.,Latency resource record sets cannot be used in combination with weighted resource record sets.,The setting to evaluate target health is not turned on for the latency alias resource record set that is associated with the domain in the region where the web servers were stopped.,An HTTP health check has not been set up for one or more of the weighted resource record sets associated with the stopped web servers.,,"D,E"
SAP-C02,Task 1.2: Prescribe security controls.,A company is running applications on AWS in a multi-account environment. The company's sales team and marketing team use separate AWS accounts in AWS organizations. The sales team stores pabytes of data in an Amazon S3 bucket. The marketing team uses Amazon Quicksite for data visualizations. The marketing team needs access to data that the Sates team stores in the S3 bucket. The company has encrypted the S3 bucket with an AWS key management service AWSKMS key. The marketing team has already created the IM service role for Quicksite to provide Quicksite access in the marketing AWS account. The company needs a solution that will provide secure access to the data in the S3 bucket across AWS accounts. Which solution will meet these requirements with the least operational overhead?,Create a new S3 bucket in the marketing account. Create an S3 replication rule in the sales account to copy the objects to the new S3 bucket in the marketing account. Update the quicksite permissions in the marketing account to grant access to the new S3 bucket.,Create an SCP to grant access to the S3 bucket to the marketing account. Use AWS resource access manager AWS RAM to share the KMS key from the states account with the marketing account. Update the Quicksite permissions in the marketing account to grant access to the S3 bucket.,Update the S3 bucket policy in the marketing account to grant access to the Quicksite RO. Create a KMS grant for the encryption key that is used in the S3 bucket. Grant decrypt access to the Quicksite RO. Update the quicksite permissions in the marketing account to grant access to the S3 bucket.,"Create an IM role in the sales account and grant access to the S3 bucket. From the marketing account, assume the IM role in the sales account to access the S3 bucket. Update the quicksite wrote to create a trust relationship with the new IM role in the sales account.",,,D
SAP-C02,Task 1.3: Design reliable and resilient architectures.,"A company recently started hosting new application workloads in the AWS cloud. The company is using Amazon EC2 instances, Amazon Elastic File System, Amazon EFS file systems, and Amazon RDSDB instances. To meet regulatory and business requirements, the company must make the following changes for data backups. A backups must be retained based on custom daily, weekly, and monthly requirements. A backups must be replicated to at least one other AWS region immediately after capture. The backup solution must provide a single source of backup status across the AWS environment. The backup solution must send immediate notifications upon failure of any resource backup. Which combination of steps will meet these requirements with the least amount of operational overhead? Choose three.",Create an AWS backup plan with a backup rule for each of the retention requirements.,Configure an AWS backup plan to copy backups to another region.,Create an AWS Lambda function to replicate backups to another region and send notification if a failure occurs.,Add an Amazon simple notification service Amazon SNS topic to the backup plan to send a notification for finished jobs that have any status except backup job completed. E create an Amazon data life cycle manager Amazon DM snapshot life cycle policy for each of the retention requirements. F set up RDS snapshots on each database.,"Create an Amazon data life cycle manager DM policy is incorrect. Amazon DLM is primarily designed for managing EBS snapshots and EBSbacked AMIs. While it is useful, it does not provide the unified single pane of glass management for EFS and RDS in the same comprehensive way that AWS backup does. Using DM for EC2/ EBS while using other tools for EFS/RDS would violate the requirement for a single source of backup status. Option","set up RDS snapshots on each database is incorrect. This represents a decentralized management approach. If the company has 100 RDS instances, you would be managing 100 separate backup schedules. This makes it impossible to have a single source of status and creates a nightmare for compliance auditing. It drastically increases operational overhead compared to a centralized policy. Therefore, the correct combination of steps to create a centralized, automated, and compliant backup solution is","A,B,D"
SAP-C02,Task 1.4: Design a multi-account AWS environment.,"A company is using multiple AWS accounts and has multiple DevOps teams running production and non-production workloads in these accounts. The company would like to centrally restrict access to some of the AWS services that the DevOps teams do not use. The company decided to use AWS organizations and successfully invited all AWS accounts into the organization. They would like to allow access to services that are currently in use and deny a few specific services. Also, they would like to administer multiple accounts together as a single unit. What combination of steps should the solutions architect take to satisfy these requirements? Choose satisfy these requirements? Choose three. Use a deny list strategy.",Choose satisfy these requirements? Choose three. Use a deny list strategy.,Review the access advisor in AWS IM to determine services recently used.,Review the AWS trusted advisor report to determine services recently used.,Remove the default full AWS access SCP.,Define organizational units O use and place the member accounts in the O use.,Remove the default deny AWS access SCP.,"A,B,E"
SAP-C02,Task 1.5: Determine cost optimization and visibility strategies.,A company creates an Amazon API gateway API and shares the API with an external development team. The API uses AWS Lambda functions and is deployed to a stage that is named production. The external development team is the sole consumer of the API. The API experiences sudden increases of usage at specific times leading to concerns about increased costs. The company needs to limit cost and usage without reworking the Lambda functions. Which solution will meet these requirements most cost-effectively?,"Configure the API to send requests to Amazon simple Q service, Amazon SQS cues instead of directly to the Lambda functions. Update the Lambda functions to consume messages from the cues and to process the requests. Set up the cues to invoke the Lambda functions when new messages arrive.",Configure provisioned concurrency for each Lambda function. Use AWS application autoscaling to register the Lambda functions as targets. Set up scaling schedules to increase and decrease capacity to match changes in API usage.,"Create an API gateway API key and an AWS WAF regional web ACL. Associate the web ACL with the production stage. Add a ratebased rule to the web ACL. In the rule, specify the rate limit and a custom request aggregation that uses the XAPI key header. Share the API key with the external development team.",Create an API gateway API key and usage plan. Define throttling limits and quotas in the usage plan. Associate the usage plan with the production stage and the API key. Share the API key with the external development team.,,,D
